model,rmspe,r2,mae
LightGBM (tabular + NN features),0.2787328241889955,0.835668167921893,0.0006934366260170755
GraphSAGE (correlation graph),0.29447611269257756,0.7713926928671633,0.0008050339394049727
Ensemble (LGB×0.62 + GNN×0.38),0.26918905194949483,0.8380293846262513,0.0006833508948511002
